Registry,Project Type Category,Vintage Year,Total Credits Issued,total_credits_retired,retirement_rate
ACR,Afforestation/Reforestation,2009.0,1119,4347417,37.9
ACR,Afforestation/Reforestation,2010.0,42898,4347417,37.9
ACR,Afforestation/Reforestation,2011.0,3706128,4347417,37.9
ACR,Afforestation/Reforestation,2012.0,369621,4347417,37.9
ACR,Afforestation/Reforestation,2013.0,477297,4347417,37.9
ACR,Afforestation/Reforestation,2014.0,182626,4347417,37.9
ACR,Afforestation/Reforestation,2015.0,1054928,4347417,37.9
ACR,Afforestation/Reforestation,2016.0,165976,4347417,37.9
ACR,Afforestation/Reforestation,2017.0,1107890,4347417,37.9
ACR,Afforestation/Reforestation,2018.0,308550,4347417,37.9
ACR,Afforestation/Reforestation,2019.0,1364185,4347417,37.9
ACR,Afforestation/Reforestation,2020.0,1179164,4347417,37.9
ACR,Afforestation/Reforestation,2021.0,804970,4347417,37.9
ACR,Afforestation/Reforestation,2022.0,716959,4347417,37.9
ACR,Soil & Livestock,2011.0,2,21813,1.2
ACR,Soil & Livestock,2013.0,19183,21813,1.2
ACR,Soil & Livestock,2014.0,24558,21813,1.2
ACR,Soil & Livestock,2015.0,237423,21813,1.2
ACR,Soil & Livestock,2016.0,270942,21813,1.2
ACR,Soil & Livestock,2017.0,314532,21813,1.2
ACR,Soil & Livestock,2018.0,288967,21813,1.2
ACR,Soil & Livestock,2019.0,298295,21813,1.2
ACR,Soil & Livestock,2020.0,190533,21813,1.2
ACR,Soil & Livestock,2021.0,99693,21813,1.2
ACR,Soil & Livestock,2022.0,44778,21813,1.2
ACR,Soil & Livestock,2023.0,40128,21813,1.2
ACR,Soil & Livestock,2024.0,23141,21813,1.2
ACR,Bioenergy,2005.0,316,127,11.2
ACR,Bioenergy,2006.0,352,127,11.2
ACR,Bioenergy,2007.0,342,127,11.2
ACR,Bioenergy,2008.0,128,127,11.2
ACR,Electric vehicles,2003.0,3832,840206,88.0
ACR,Electric vehicles,2004.0,5689,840206,88.0
ACR,Electric vehicles,2005.0,13528,840206,88.0
ACR,Electric vehicles,2006.0,52424,840206,88.0
ACR,Electric vehicles,2007.0,138386,840206,88.0
ACR,Electric vehicles,2008.0,163974,840206,88.0
ACR,Electric vehicles,2009.0,112296,840206,88.0
ACR,Electric vehicles,2010.0,63490,840206,88.0
ACR,Electric vehicles,2011.0,80065,840206,88.0
ACR,Electric vehicles,2012.0,91789,840206,88.0
ACR,Electric vehicles,2013.0,104540,840206,88.0
ACR,Electric vehicles,2014.0,104696,840206,88.0
ACR,Electric vehicles,2015.0,6945,840206,88.0
ACR,Electric vehicles,2016.0,5597,840206,88.0
ACR,Electric vehicles,2017.0,3528,840206,88.0
ACR,Electric vehicles,2018.0,2565,840206,88.0
ACR,Electric vehicles,2019.0,1857,840206,88.0
ACR,Forest management,2011.0,16032,12920391,6.6
ACR,Forest management,2012.0,4472885,12920391,6.6
ACR,Forest management,2013.0,1190083,12920391,6.6
ACR,Forest management,2014.0,2419251,12920391,6.6
ACR,Forest management,2015.0,16294597,12920391,6.6
ACR,Forest management,2016.0,31791840,12920391,6.6
ACR,Forest management,2017.0,28178218,12920391,6.6
ACR,Forest management,2018.0,14841681,12920391,6.6
ACR,Forest management,2019.0,19376347,12920391,6.6
ACR,Forest management,2020.0,13251185,12920391,6.6
ACR,Forest management,2021.0,14907749,12920391,6.6
ACR,Forest management,2022.0,16353828,12920391,6.6
ACR,Forest management,2023.0,17143796,12920391,6.6
ACR,Forest management,2024.0,13443770,12920391,6.6
ACR,Forest management,2025.0,685284,12920391,6.6
ACR,Fossil gas leaks,2014.0,280667,5016,0.0
ACR,Fossil gas leaks,2015.0,490301,5016,0.0
ACR,Fossil gas leaks,2016.0,504479,5016,0.0
ACR,Fossil gas leaks,2017.0,664696,5016,0.0
ACR,Fossil gas leaks,2018.0,677134,5016,0.0
ACR,Fossil gas leaks,2019.0,661055,5016,0.0
ACR,Fossil gas leaks,2020.0,637905,5016,0.0
ACR,Fossil gas leaks,2021.0,1317563,5016,0.0
ACR,Fossil gas leaks,2022.0,2005210,5016,0.0
ACR,Fossil gas leaks,2023.0,3122394,5016,0.0
ACR,Fossil gas leaks,2024.0,3721981,5016,0.0
ACR,Fossil gas leaks,2025.0,1303517,5016,0.0
ACR,Heat recovery,2003.0,135250,2168,0.5
ACR,Heat recovery,2004.0,164750,2168,0.5
ACR,Heat recovery,2005.0,139035,2168,0.5
ACR,Industrial efficiency,2003.0,1898382,21514850,20.4
ACR,Industrial efficiency,2004.0,3004613,21514850,20.4
ACR,Industrial efficiency,2005.0,3081011,21514850,20.4
ACR,Industrial efficiency,2008.0,319,21514850,20.4
ACR,Industrial efficiency,2009.0,61523,21514850,20.4
ACR,Industrial efficiency,2010.0,97226,21514850,20.4
ACR,Industrial efficiency,2011.0,94841,21514850,20.4
ACR,Industrial efficiency,2012.0,414463,21514850,20.4
ACR,Industrial efficiency,2013.0,955174,21514850,20.4
ACR,Industrial efficiency,2014.0,1039469,21514850,20.4
ACR,Industrial efficiency,2015.0,1222853,21514850,20.4
ACR,Industrial efficiency,2016.0,2059974,21514850,20.4
ACR,Industrial efficiency,2017.0,2084927,21514850,20.4
ACR,Industrial efficiency,2018.0,2554864,21514850,20.4
ACR,Industrial efficiency,2019.0,12056982,21514850,20.4
ACR,Industrial efficiency,2020.0,16360943,21514850,20.4
ACR,Industrial efficiency,2021.0,13611270,21514850,20.4
ACR,Industrial efficiency,2022.0,13441893,21514850,20.4
ACR,Industrial efficiency,2023.0,17416015,21514850,20.4
ACR,Industrial efficiency,2024.0,9351552,21514850,20.4
ACR,Industrial efficiency,2025.0,3380744,21514850,20.4
ACR,Landfill gas,1998.0,48826,2064583,43.7
ACR,Landfill gas,1999.0,74895,2064583,43.7
ACR,Landfill gas,2000.0,114507,2064583,43.7
ACR,Landfill gas,2001.0,114478,2064583,43.7
ACR,Landfill gas,2002.0,110796,2064583,43.7
ACR,Landfill gas,2003.0,309610,2064583,43.7
ACR,Landfill gas,2004.0,320249,2064583,43.7
ACR,Landfill gas,2005.0,358764,2064583,43.7
ACR,Landfill gas,2006.0,969426,2064583,43.7
ACR,Landfill gas,2007.0,727364,2064583,43.7
ACR,Landfill gas,2008.0,244983,2064583,43.7
ACR,Landfill gas,2009.0,108593,2064583,43.7
ACR,Landfill gas,2010.0,128923,2064583,43.7
ACR,Landfill gas,2011.0,40121,2064583,43.7
ACR,Landfill gas,2018.0,36604,2064583,43.7
ACR,Landfill gas,2019.0,50086,2064583,43.7
ACR,Landfill gas,2020.0,62370,2064583,43.7
ACR,Landfill gas,2021.0,133689,2064583,43.7
ACR,Landfill gas,2022.0,188689,2064583,43.7
ACR,Landfill gas,2023.0,291359,2064583,43.7
ACR,Landfill gas,2024.0,254243,2064583,43.7
ACR,Mixed renewables,2004.0,5,491681,24.5
ACR,Mixed renewables,2005.0,491,491681,24.5
ACR,Mixed renewables,2006.0,1638,491681,24.5
ACR,Mixed renewables,2007.0,1948,491681,24.5
ACR,Mixed renewables,2009.0,24245,491681,24.5
ACR,Mixed renewables,2010.0,132737,491681,24.5
ACR,Mixed renewables,2011.0,91970,491681,24.5
ACR,Mixed renewables,2012.0,102825,491681,24.5
ACR,Mixed renewables,2013.0,434180,491681,24.5
ACR,Mixed renewables,2014.0,141643,491681,24.5
ACR,Mixed renewables,2015.0,155810,491681,24.5
ACR,Mixed renewables,2016.0,258088,491681,24.5
ACR,Mixed renewables,2017.0,133306,491681,24.5
ACR,Mixed renewables,2018.0,195071,491681,24.5
ACR,Mixed renewables,2019.0,189339,491681,24.5
ACR,Mixed renewables,2020.0,84960,491681,24.5
ACR,Mixed renewables,2021.0,61672,491681,24.5
ACR,Nitric acid,2001.0,125000,0,0.0
ACR,Oil Field Gas Recovery,2000.0,991518,9006519,33.1
ACR,Oil Field Gas Recovery,2001.0,718342,9006519,33.1
